state,task,model,seed,train_config,train_years,eval_year,accuracy
FL,income,GBM,0,2018,2018,2018,0.807328784432651
FL,income,GBM,0,2017,2017,2018,0.8044377053323225
FL,income,GBM,0,2014-2017,2014-2015-2016-2017,2018,0.8043164013141268
FL,income,GBM,1,2018,2018,2018,0.8079049785190802
FL,income,GBM,1,2017,2017,2018,0.8054081374778873
FL,income,GBM,1,2014-2017,2014-2015-2016-2017,2018,0.8046297700277988
FL,income,GBM,2,2018,2018,2018,0.806702047005307
FL,income,GBM,2,2017,2017,2018,0.8050240080869345
FL,income,GBM,2,2014-2017,2014-2015-2016-2017,2018,0.8037199898913319
FL,income,GBM,3,2018,2018,2018,0.8074399797826637
FL,income,GBM,3,2017,2017,2018,0.8040940106141016
FL,income,GBM,3,2014-2017,2014-2015-2016-2017,2018,0.8034268385140257
FL,income,GBM,4,2018,2018,2018,0.8079251958554461
FL,income,GBM,4,2017,2017,2018,0.8041849886277483
FL,income,GBM,4,2014-2017,2014-2015-2016-2017,2018,0.8027192317412181
FL,income,GBM,5,2018,2018,2018,0.8072074804144554
FL,income,GBM,5,2017,2017,2018,0.8057113975233763
FL,income,GBM,5,2014-2017,2014-2015-2016-2017,2018,0.8034672731867576
FL,income,GBM,6,2018,2018,2018,0.8075006317917615
FL,income,GBM,6,2017,2017,2018,0.8044377053323225
FL,income,GBM,6,2014-2017,2014-2015-2016-2017,2018,0.8041041192822845
FL,income,GBM,7,2018,2018,2018,0.8063684609552692
FL,income,GBM,7,2017,2017,2018,0.8051250947687643
FL,income,GBM,7,2014-2017,2014-2015-2016-2017,2018,0.8044680313368714
FL,income,GBM,8,2018,2018,2018,0.8083396512509476
FL,income,GBM,8,2017,2017,2018,0.8053272681324235
FL,income,GBM,8,2014-2017,2014-2015-2016-2017,2018,0.8037300985595148
FL,income,GBM,9,2018,2018,2018,0.8074197624462977
FL,income,GBM,9,2017,2017,2018,0.8046904220368967
FL,income,GBM,9,2014-2017,2014-2015-2016-2017,2018,0.8030326004548901
